CPU 15 sonikx-3-0,User%,Sys%,Wait%,Idle%,Steal%
2024-11-01 20:38:35,2.7,2.7,0.0,94.7,0.0
2024-11-01 20:38:37,3.5,3.5,0.0,92.9,0.0
2024-11-01 20:38:39,4.0,2.0,0.0,93.9,0.0
2024-11-01 20:38:41,4.5,3.0,0.0,92.4,0.0
2024-11-01 20:38:43,3.1,2.1,0.0,94.8,0.0
2024-11-01 20:38:45,0.5,2.5,0.0,97.0,0.0
2024-11-01 20:38:47,4.6,2.5,0.0,92.9,0.0
2024-11-01 20:38:49,4.1,2.5,0.0,93.4,0.0
2024-11-01 20:38:51,3.6,2.0,0.0,94.4,0.0
2024-11-01 20:38:53,2.6,2.1,0.0,95.4,0.0
2024-11-01 20:38:55,4.0,2.5,0.0,93.5,0.0
2024-11-01 20:38:57,2.5,1.0,0.0,96.5,0.0
2024-11-01 20:38:59,1.0,1.0,0.0,98.0,0.0
2024-11-01 20:39:01,4.5,1.0,0.0,94.5,0.0
2024-11-01 20:39:03,3.0,1.5,0.0,95.5,0.0
