CPU 12 sonikx-3-0,User%,Sys%,Wait%,Idle%,Steal%
2024-11-01 20:38:35,7.1,0.0,0.0,92.9,0.0
2024-11-01 20:38:37,5.0,2.5,0.0,92.5,0.0
2024-11-01 20:38:39,11.7,4.1,0.0,84.2,0.0
2024-11-01 20:38:41,9.0,3.0,0.0,88.0,0.0
2024-11-01 20:38:43,11.5,1.0,0.0,87.5,0.0
2024-11-01 20:38:45,1.0,2.0,0.0,97.0,0.0
2024-11-01 20:38:47,2.6,5.6,0.0,91.8,0.0
2024-11-01 20:38:49,8.1,1.5,0.0,90.4,0.0
2024-11-01 20:38:51,3.0,1.5,0.0,95.5,0.0
2024-11-01 20:38:53,7.5,2.0,0.0,90.5,0.0
2024-11-01 20:38:55,2.6,0.5,0.0,96.9,0.0
2024-11-01 20:38:57,2.0,0.5,0.0,97.5,0.0
2024-11-01 20:38:59,5.0,0.5,0.0,94.5,0.0
2024-11-01 20:39:01,1.5,1.0,0.0,97.5,0.0
2024-11-01 20:39:03,5.6,2.0,0.5,91.9,0.0
