CPU 16 sonikx-3-0,User%,Sys%,Wait%,Idle%,Steal%
2024-11-01 20:38:35,3.4,2.6,0.0,94.0,0.0
2024-11-01 20:38:37,2.1,1.0,0.0,96.9,0.0
2024-11-01 20:38:39,3.0,2.5,0.0,94.4,0.0
2024-11-01 20:38:41,4.5,3.0,0.0,92.5,0.0
2024-11-01 20:38:43,4.0,2.5,0.0,93.5,0.0
2024-11-01 20:38:45,0.5,1.0,0.0,98.5,0.0
2024-11-01 20:38:47,2.6,1.0,0.0,96.4,0.0
2024-11-01 20:38:49,2.5,2.0,0.0,95.4,0.0
2024-11-01 20:38:51,2.6,1.5,0.0,95.9,0.0
2024-11-01 20:38:53,1.5,2.0,0.0,96.4,0.0
2024-11-01 20:38:55,2.0,2.0,0.0,95.9,0.0
2024-11-01 20:38:57,1.0,0.5,0.0,98.5,0.0
2024-11-01 20:38:59,1.5,1.0,0.0,97.5,0.0
2024-11-01 20:39:01,2.0,0.5,0.0,97.5,0.0
2024-11-01 20:39:03,1.0,2.5,0.0,96.5,0.0
