CPU 11 sonikx-3-0,User%,Sys%,Wait%,Idle%,Steal%
2024-11-01 20:38:35,12.5,10.7,0.0,76.8,0.0
2024-11-01 20:38:37,10.8,3.6,0.0,85.6,0.0
2024-11-01 20:38:39,14.6,3.0,0.0,82.3,0.0
2024-11-01 20:38:41,10.4,3.1,0.0,86.5,0.0
2024-11-01 20:38:43,9.2,5.1,0.0,85.6,0.0
2024-11-01 20:38:45,7.7,2.6,0.0,89.7,0.0
2024-11-01 20:38:47,11.6,4.5,0.0,83.8,0.0
2024-11-01 20:38:49,9.2,3.1,0.0,87.8,0.0
2024-11-01 20:38:51,9.2,3.6,0.0,87.2,0.0
2024-11-01 20:38:53,8.3,5.2,0.0,86.5,0.0
2024-11-01 20:38:55,17.9,3.6,0.0,78.5,0.0
2024-11-01 20:38:57,3.1,2.0,0.0,94.9,0.0
2024-11-01 20:38:59,6.6,2.0,0.0,91.4,0.0
2024-11-01 20:39:01,11.5,4.0,0.0,84.5,0.0
2024-11-01 20:39:03,11.0,2.5,0.0,86.5,0.0
