CPU 5 sonikx-3-0,User%,Sys%,Wait%,Idle%,Steal%
2024-11-01 20:38:35,12.8,3.4,0.0,83.8,0.0
2024-11-01 20:38:37,11.9,4.0,0.0,84.1,0.0
2024-11-01 20:38:39,10.1,3.0,0.0,86.9,0.0
2024-11-01 20:38:41,13.7,2.5,0.0,83.8,0.0
2024-11-01 20:38:43,9.7,2.1,0.0,88.2,0.0
2024-11-01 20:38:45,7.6,1.5,0.0,90.9,0.0
2024-11-01 20:38:47,7.0,6.0,0.0,86.9,0.0
2024-11-01 20:38:49,11.3,2.1,0.0,86.7,0.0
2024-11-01 20:38:51,7.0,8.0,0.0,84.9,0.0
2024-11-01 20:38:53,10.3,5.6,0.0,84.1,0.0
2024-11-01 20:38:55,8.2,4.1,0.0,87.8,0.0
2024-11-01 20:38:57,5.5,2.0,0.0,92.5,0.0
2024-11-01 20:38:59,29.7,2.1,0.0,68.2,0.0
2024-11-01 20:39:01,7.6,1.5,0.0,90.9,0.0
2024-11-01 20:39:03,16.7,3.0,0.0,80.3,0.0
