CPU 2 sonikx-3-0,User%,Sys%,Wait%,Idle%,Steal%
2024-11-01 20:38:35,6.4,1.8,0.0,91.8,0.0
2024-11-01 20:38:37,8.5,1.5,0.0,89.9,0.0
2024-11-01 20:38:39,4.5,1.5,0.0,94.0,0.0
2024-11-01 20:38:41,6.7,2.6,0.0,90.8,0.0
2024-11-01 20:38:43,4.6,2.1,0.0,93.3,0.0
2024-11-01 20:38:45,4.6,3.1,0.0,92.3,0.0
2024-11-01 20:38:47,11.2,3.0,0.0,85.8,0.0
2024-11-01 20:38:49,7.2,3.1,0.0,89.7,0.0
2024-11-01 20:38:51,7.6,2.5,1.0,88.8,0.0
2024-11-01 20:38:53,6.7,2.6,0.0,90.8,0.0
2024-11-01 20:38:55,10.4,5.5,0.0,84.1,0.0
2024-11-01 20:38:57,4.5,2.5,0.0,92.9,0.0
2024-11-01 20:38:59,5.5,1.0,0.0,93.5,0.0
2024-11-01 20:39:01,7.6,2.0,0.0,90.4,0.0
2024-11-01 20:39:03,16.8,2.0,0.0,81.1,0.0
