CPU 3 sonikx-3-0,User%,Sys%,Wait%,Idle%,Steal%
2024-11-01 20:38:35,8.2,11.8,0.0,80.0,0.0
2024-11-01 20:38:37,6.7,11.9,0.0,81.3,0.0
2024-11-01 20:38:39,5.1,10.3,0.0,84.6,0.0
2024-11-01 20:38:41,9.8,11.9,0.0,78.4,0.0
2024-11-01 20:38:43,4.3,10.2,0.0,85.5,0.0
2024-11-01 20:38:45,2.6,8.5,0.0,88.9,0.0
2024-11-01 20:38:47,7.2,12.8,0.0,80.0,0.0
2024-11-01 20:38:49,4.2,9.5,0.0,86.3,0.0
2024-11-01 20:38:51,5.7,13.9,0.0,80.4,0.0
2024-11-01 20:38:53,8.3,14.0,0.0,77.7,0.0
2024-11-01 20:38:55,5.8,10.5,0.0,83.8,0.0
2024-11-01 20:38:57,2.5,6.6,0.0,90.9,0.0
2024-11-01 20:38:59,4.6,5.2,0.0,90.2,0.0
2024-11-01 20:39:01,9.6,6.6,0.0,83.8,0.0
2024-11-01 20:39:03,5.6,7.1,0.0,87.3,0.0
