CPU 8 sonikx-3-0,User%,Sys%,Wait%,Idle%,Steal%
2024-11-01 20:38:35,2.6,2.6,0.0,94.7,0.0
2024-11-01 20:38:37,10.6,1.0,0.0,88.4,0.0
2024-11-01 20:38:39,12.8,4.4,0.0,82.8,0.0
2024-11-01 20:38:41,10.5,2.0,0.0,87.5,0.0
2024-11-01 20:38:43,4.5,2.5,0.0,93.0,0.0
2024-11-01 20:38:45,2.1,1.5,0.0,96.4,0.0
2024-11-01 20:38:47,10.1,0.5,0.0,89.4,0.0
2024-11-01 20:38:49,3.1,2.0,0.0,94.9,0.0
2024-11-01 20:38:51,2.5,0.5,0.0,97.0,0.0
2024-11-01 20:38:53,9.1,1.5,0.0,89.3,0.0
2024-11-01 20:38:55,8.1,1.5,0.0,90.4,0.0
2024-11-01 20:38:57,2.5,2.0,0.0,95.5,0.0
2024-11-01 20:38:59,8.5,0.5,0.0,91.0,0.0
2024-11-01 20:39:01,29.3,1.5,0.0,69.2,0.0
2024-11-01 20:39:03,10.1,0.5,0.0,89.4,0.0
