CPU 10 sonikx-3-0,User%,Sys%,Wait%,Idle%,Steal%
2024-11-01 20:38:35,0.9,0.9,0.0,98.2,0.0
2024-11-01 20:38:37,6.2,2.1,0.0,91.8,0.0
2024-11-01 20:38:39,33.0,0.5,0.0,66.5,0.0
2024-11-01 20:38:41,4.1,3.1,0.0,92.8,0.0
2024-11-01 20:38:43,5.6,0.0,0.0,94.4,0.0
2024-11-01 20:38:45,3.0,1.5,0.0,95.5,0.0
2024-11-01 20:38:47,14.1,0.5,0.0,85.4,0.0
2024-11-01 20:38:49,1.5,0.5,0.0,97.9,0.0
2024-11-01 20:38:51,7.0,2.5,0.0,90.5,0.0
2024-11-01 20:38:53,2.0,0.5,0.0,97.4,0.0
2024-11-01 20:38:55,3.1,2.1,0.0,94.8,0.0
2024-11-01 20:38:57,23.0,2.0,0.0,75.0,0.0
2024-11-01 20:38:59,10.0,2.0,0.0,88.0,0.0
2024-11-01 20:39:01,3.0,1.0,0.0,96.0,0.0
2024-11-01 20:39:03,7.5,1.0,0.0,91.5,0.0
