CPU 9 sonikx-3-0,User%,Sys%,Wait%,Idle%,Steal%
2024-11-01 20:38:35,15.3,6.3,0.9,77.5,0.0
2024-11-01 20:38:37,15.0,1.6,0.0,83.4,0.0
2024-11-01 20:38:39,8.8,3.6,0.0,87.6,0.0
2024-11-01 20:38:41,14.4,4.3,0.0,81.3,0.0
2024-11-01 20:38:43,11.8,3.2,0.0,84.9,0.0
2024-11-01 20:38:45,9.3,3.6,0.0,87.1,0.0
2024-11-01 20:38:47,11.4,4.1,0.0,84.5,0.0
2024-11-01 20:38:49,12.5,3.1,0.0,84.4,0.0
2024-11-01 20:38:51,9.8,5.2,0.5,84.5,0.0
2024-11-01 20:38:53,15.4,3.2,0.0,81.4,0.0
2024-11-01 20:38:55,9.9,4.2,0.0,85.9,0.0
2024-11-01 20:38:57,6.6,2.6,0.5,90.3,0.0
2024-11-01 20:38:59,6.8,0.0,0.0,93.2,0.0
2024-11-01 20:39:01,13.9,3.6,0.0,82.5,0.0
2024-11-01 20:39:03,16.1,2.5,0.0,81.4,0.0
