CPU 14 sonikx-3-0,User%,Sys%,Wait%,Idle%,Steal%
2024-11-01 20:38:35,4.5,3.6,0.0,92.0,0.0
2024-11-01 20:38:37,4.6,2.6,0.0,92.9,0.0
2024-11-01 20:38:39,6.0,3.0,0.0,91.0,0.0
2024-11-01 20:38:41,7.6,3.0,0.0,89.3,0.0
2024-11-01 20:38:43,6.2,4.1,0.0,89.7,0.0
2024-11-01 20:38:45,4.5,2.0,0.0,93.4,0.0
2024-11-01 20:38:47,5.6,3.0,0.0,91.4,0.0
2024-11-01 20:38:49,5.1,3.1,0.0,91.8,0.0
2024-11-01 20:38:51,5.6,2.0,0.0,92.4,0.0
2024-11-01 20:38:53,4.6,3.6,0.0,91.9,0.0
2024-11-01 20:38:55,5.5,3.5,0.0,91.0,0.0
2024-11-01 20:38:57,3.5,1.5,0.0,95.0,0.0
2024-11-01 20:38:59,2.5,1.5,0.0,96.0,0.0
2024-11-01 20:39:01,3.0,2.0,0.0,95.0,0.0
2024-11-01 20:39:03,3.5,2.0,0.0,94.4,0.0
