CPU 4 sonikx-3-0,User%,Sys%,Wait%,Idle%,Steal%
2024-11-01 20:38:35,1.8,0.9,0.9,96.5,0.0
2024-11-01 20:38:37,4.1,1.5,0.0,94.4,0.0
2024-11-01 20:38:39,5.0,1.5,0.0,93.5,0.0
2024-11-01 20:38:41,4.0,1.0,0.5,94.4,0.0
2024-11-01 20:38:43,2.1,0.5,0.0,97.4,0.0
2024-11-01 20:38:45,2.0,2.5,0.5,94.9,0.0
2024-11-01 20:38:47,1.5,8.6,0.0,89.9,0.0
2024-11-01 20:38:49,1.5,0.5,0.0,98.0,0.0
2024-11-01 20:38:51,2.0,1.0,0.0,96.9,0.0
2024-11-01 20:38:53,2.0,2.0,0.0,96.0,0.0
2024-11-01 20:38:55,2.0,0.5,0.0,97.5,0.0
2024-11-01 20:38:57,3.0,1.5,0.0,95.5,0.0
2024-11-01 20:38:59,4.0,0.5,0.0,95.5,0.0
2024-11-01 20:39:01,4.0,1.0,0.0,95.0,0.0
2024-11-01 20:39:03,1.5,1.5,0.0,97.0,0.0
