CPU 7 sonikx-3-0,User%,Sys%,Wait%,Idle%,Steal%
2024-11-01 20:38:35,16.1,4.2,0.0,79.7,0.0
2024-11-01 20:38:37,13.9,3.5,0.0,82.6,0.0
2024-11-01 20:38:39,7.0,3.5,0.0,89.5,0.0
2024-11-01 20:38:41,11.9,4.6,0.0,83.5,0.0
2024-11-01 20:38:43,14.3,2.6,0.0,83.2,0.0
2024-11-01 20:38:45,11.7,1.5,0.0,86.7,0.0
2024-11-01 20:38:47,9.2,3.6,0.0,87.2,0.0
2024-11-01 20:38:49,17.1,2.6,0.0,80.3,0.0
2024-11-01 20:38:51,9.1,4.6,0.0,86.3,0.0
2024-11-01 20:38:53,9.7,2.6,0.0,87.8,0.0
2024-11-01 20:38:55,8.2,3.6,0.0,88.2,0.0
2024-11-01 20:38:57,7.5,1.0,0.0,91.5,0.0
2024-11-01 20:38:59,11.5,1.5,0.0,87.0,0.0
2024-11-01 20:39:01,8.0,2.5,0.0,89.4,0.0
2024-11-01 20:39:03,8.6,1.0,0.0,90.4,0.0
