CPU 13 sonikx-3-0,User%,Sys%,Wait%,Idle%,Steal%
2024-11-01 20:38:35,7.0,5.3,0.0,87.7,0.0
2024-11-01 20:38:37,7.0,4.5,0.0,88.4,0.0
2024-11-01 20:38:39,7.1,2.5,0.0,90.4,0.0
2024-11-01 20:38:41,10.2,3.1,0.0,86.7,0.0
2024-11-01 20:38:43,9.7,3.1,0.0,87.2,0.0
2024-11-01 20:38:45,5.0,3.5,0.0,91.5,0.0
2024-11-01 20:38:47,8.3,5.7,0.0,86.0,0.0
2024-11-01 20:38:49,8.0,4.5,0.0,87.5,0.0
2024-11-01 20:38:51,5.2,3.6,0.0,91.2,0.0
2024-11-01 20:38:53,6.6,4.6,0.5,88.3,0.0
2024-11-01 20:38:55,6.2,3.6,0.0,90.3,0.0
2024-11-01 20:38:57,5.5,2.5,0.0,92.0,0.0
2024-11-01 20:38:59,6.4,1.5,0.0,92.1,0.0
2024-11-01 20:39:01,5.5,2.0,0.5,92.0,0.0
2024-11-01 20:39:03,4.6,2.0,0.0,93.4,0.0
